Id,RelatedPostId,PostId,LinkTypeId,CreationDate
73410,810,11788,1,2016-05-17T10:50:58.913
74064,11853,11851,1,2016-05-21T15:19:23.927
74434,10471,11890,1,2016-05-23T21:51:04.010
74474,9507,11896,1,2016-05-24T08:04:07.577
75464,11919,11880,1,2016-05-30T17:06:15.627
75822,11915,12032,1,2016-06-02T12:04:20.700
78591,1107,12147,1,2016-06-10T11:58:18.377
78592,4944,12147,1,2016-06-10T11:58:18.377
78724,4944,12119,1,2016-06-11T07:56:04.043
78730,4944,12119,3,2016-06-11T09:56:32.737
79637,985,12188,1,2016-06-15T19:16:16.057
79834,12003,12223,1,2016-06-16T13:28:32.637
79868,6817,12234,1,2016-06-16T17:58:05.033
80108,10143,12257,1,2016-06-17T21:49:30.690
80109,266,12257,1,2016-06-17T21:49:30.690
80110,326,12257,1,2016-06-17T21:49:30.690
80111,398,12257,1,2016-06-17T21:49:30.690
80180,12250,12259,1,2016-06-18T04:54:40.067
80418,12279,12269,1,2016-06-19T11:33:12.897
81084,12347,12147,1,2016-06-22T13:36:45.127
82226,10885,12437,1,2016-06-28T13:58:36.217
82366,11367,12478,1,2016-06-29T08:57:11.187
82480,12437,12496,1,2016-06-29T20:40:22.020
82604,12265,12514,1,2016-06-30T12:14:55.937
83197,12557,12564,1,2016-07-03T09:56:19.353
83199,10085,12564,1,2016-07-03T11:12:42.847
83649,12564,3759,1,2016-07-05T08:53:33.123
83781,8667,12593,1,2016-07-05T20:48:00.003
83897,12584,12626,1,2016-07-06T08:20:09.857
83898,12622,12626,1,2016-07-06T08:23:47.153
83967,12620,12634,1,2016-07-06T13:08:28.247
83968,12620,12634,3,2016-07-06T13:08:41.933
84428,8775,12678,1,2016-07-08T20:52:05.060
84962,12619,10394,1,2016-07-11T16:57:14.627
84970,12619,6884,1,2016-07-11T17:00:50.290
85089,12626,12695,1,2016-07-12T10:21:03.987
85122,12265,12720,1,2016-07-12T13:30:01.993
85647,11091,12785,1,2016-07-15T06:37:10.220
86009,155,12821,1,2016-07-17T04:51:15.673
86535,9663,12875,1,2016-07-20T06:00:56.793
86540,9663,12875,3,2016-07-20T08:02:54.053
86926,694,12919,1,2016-07-21T20:13:32.987
87161,6715,12930,1,2016-07-23T05:37:31.610
87162,8799,12930,1,2016-07-23T05:37:31.610
87397,12695,12960,1,2016-07-24T13:30:41.937
87718,739,12998,1,2016-07-26T08:54:41.550
87844,41,13010,1,2016-07-26T21:48:22.307
88103,12930,5838,1,2016-07-28T02:45:02.137
88158,11166,13051,1,2016-07-28T12:23:12.990
88285,11014,13031,1,2016-07-29T02:11:13.847
88286,5268,13031,1,2016-07-29T02:11:13.847
90818,8286,12984,1,2016-08-04T18:27:13.593
91184,13227,13250,1,2016-08-06T03:06:58.170
91590,6169,13238,1,2016-08-07T23:02:21.230
91599,22,13273,1,2016-08-08T03:04:57.623
91915,12475,13273,1,2016-08-08T21:15:20.590
92035,12475,13273,3,2016-08-09T10:05:47.307
92630,6113,13359,1,2016-08-11T17:55:13.487
92649,6084,13377,1,2016-08-11T20:25:16.350
92730,12695,13385,1,2016-08-12T06:57:16.147
93600,12655,13459,1,2016-08-16T14:24:28.903
93994,13513,13504,1,2016-08-18T06:48:00.050
94193,12851,13477,1,2016-08-18T23:58:25.307
94256,12851,13477,3,2016-08-19T08:59:59.493
94439,893,13553,1,2016-08-19T17:13:29.703
94770,11699,13587,1,2016-08-21T09:44:54.333
94859,13484,13574,1,2016-08-21T20:59:43.710
94860,13574,13484,1,2016-08-21T21:00:26.417
94922,13484,13574,3,2016-08-22T09:38:58.380
95253,13273,12188,1,2016-08-23T17:55:42.147
95966,13681,13691,1,2016-08-26T11:27:54.140
98328,5710,13854,1,2016-09-06T08:07:13.957
98591,5710,13854,3,2016-09-07T07:08:34.140
99429,10885,12771,1,2016-09-12T14:28:13.877
99722,9435,13978,1,2016-09-13T18:04:25.100
100259,14028,14031,1,2016-09-16T03:37:10.137
100340,13335,14039,1,2016-09-16T14:01:09.883
101389,6547,14127,1,2016-09-21T11:50:53.640
102267,14220,14223,1,2016-09-26T10:10:34.397
103382,10919,14313,1,2016-10-02T10:55:12.107
104238,22,14355,1,2016-10-05T16:21:26.927
104395,5860,14396,1,2016-10-06T11:48:16.920
104396,313,14396,1,2016-10-06T11:48:16.920
105427,14406,14458,1,2016-10-11T23:20:41.477
105850,13920,14415,1,2016-10-13T11:47:24.220
106026,12761,14465,1,2016-10-14T08:07:35.703
106122,6547,14528,1,2016-10-14T16:19:41.233
106786,1253,14586,1,2016-10-17T13:41:34.120
108062,1240,14711,1,2016-10-22T23:53:07.833
109887,6576,14832,1,2016-10-31T07:44:37.817
109908,6576,14832,3,2016-10-31T09:03:23.060
110522,12851,14899,1,2016-11-03T03:54:03.780
111116,14368,14941,1,2016-11-06T03:03:17.017
111298,14941,14959,3,2016-11-06T19:26:15.520
111601,14527,8032,1,2016-11-08T07:59:56.593
112597,5706,15081,1,2016-11-12T22:03:01.133
113724,15181,12886,1,2016-11-17T16:56:42.063
113875,6378,13124,1,2016-11-18T07:39:55.483
114276,14664,15231,1,2016-11-19T20:39:58.677
114779,12321,15264,1,2016-11-22T14:56:47.107
114780,6107,9222,1,2016-11-22T21:29:47.450
115988,15283,15371,1,2016-11-27T15:41:09.167
116184,1159,15397,1,2016-11-28T16:12:14.203
117662,13279,15499,1,2016-12-04T13:38:02.940
118730,6042,15579,1,2016-12-07T22:06:33.180
119337,15657,15595,1,2016-12-10T02:57:39.040
119838,15524,15694,1,2016-12-12T10:38:34.430
120785,15755,15757,1,2016-12-15T18:28:52.137
120815,15755,15757,3,2016-12-15T20:20:17.753
122183,5121,15862,1,2016-12-21T23:50:51.620
123765,4875,15983,1,2016-12-29T08:29:23.527
124044,6683,16008,1,2016-12-30T17:29:52.647
124847,15812,16055,1,2017-01-03T23:18:05.600
125149,16088,12500,1,2017-01-04T23:49:43.857
126218,13949,16182,1,2017-01-09T11:38:19.377
127222,10692,16292,1,2017-01-13T13:17:48.543
127751,22,16337,1,2017-01-16T03:42:04.457
128413,16387,16388,1,2017-01-18T16:26:12.683
128477,6107,16394,1,2017-01-18T23:50:54.937
128799,13599,16414,1,2017-01-20T09:31:59.993
129273,9364,16163,1,2017-01-22T21:26:12.497
129992,14666,16509,1,2017-01-25T16:15:48.073
131148,8120,16623,1,2017-01-30T16:38:18.777
131227,12964,16632,1,2017-01-30T20:01:45.490
131842,16692,16689,1,2017-02-01T23:50:14.287
133190,14998,16771,1,2017-02-07T07:28:07.333
133286,14998,16771,3,2017-02-07T13:07:07.863
133481,16609,16807,1,2017-02-08T07:03:46.237
134627,9302,16918,1,2017-02-13T01:57:18.537
134841,11446,16930,1,2017-02-13T15:32:35.137
134842,1174,16930,1,2017-02-13T15:32:35.137
135845,17017,16995,1,2017-02-16T15:18:13.843
136024,16929,17021,1,2017-02-17T11:57:41.650
137497,16930,17143,1,2017-02-23T15:39:57.913
138015,17165,17181,1,2017-02-26T05:30:22.173
138134,16062,17183,1,2017-02-26T13:43:56.960
138358,361,17207,1,2017-02-27T07:04:05.363
138499,16959,17227,1,2017-02-27T14:31:24.897
138611,17095,17233,1,2017-02-28T01:58:50.337
139285,17298,17301,1,2017-03-02T13:28:26.817
139286,17301,17298,1,2017-03-02T13:29:01.997
139288,17080,17167,1,2017-03-02T13:37:28.290
139396,17080,17167,3,2017-03-02T19:05:10.263
139769,5121,16036,1,2017-03-04T14:29:30.107
139775,16036,15485,1,2017-03-04T14:41:16.610
139901,16062,17244,1,2017-03-05T06:56:13.440
140066,17241,17371,1,2017-03-05T19:36:06.057
140108,17288,17364,1,2017-03-05T22:50:13.463
140144,17288,17378,1,2017-03-06T01:47:15.910
140155,17378,17364,1,2017-03-06T01:48:55.137
141357,14503,17487,1,2017-03-10T05:31:06.310
141376,14664,17487,1,2017-03-10T07:42:56.783
141412,17460,17473,1,2017-03-10T11:05:39.440
141474,14664,17487,3,2017-03-10T18:57:57.090
141582,17460,17473,3,2017-03-11T05:04:34.307
142736,12738,17612,1,2017-03-15T14:51:06.853
143172,155,17659,1,2017-03-16T20:39:09.517
143306,11853,17671,1,2017-03-17T14:06:04.600
144368,6107,17737,1,2017-03-21T14:29:05.293
144391,16930,17695,1,2017-03-21T17:19:41.003
145379,41,17854,1,2017-03-24T20:19:21.747
145397,10839,17855,1,2017-03-24T20:44:07.477
146000,17755,17859,1,2017-03-27T04:09:49.440
147357,8043,17999,1,2017-03-31T10:21:35.837
147633,10615,16350,1,2017-04-01T00:36:49.097
148686,8029,18119,1,2017-04-04T19:35:01.440
152158,13422,18269,1,2017-04-12T13:10:05.860
152825,11204,18350,1,2017-04-14T11:07:18.177
153346,6921,18381,1,2017-04-15T22:51:15.723
154647,22,18462,1,2017-04-19T17:34:08.587
156547,10615,18594,1,2017-04-25T18:48:57.503
156684,18595,18602,1,2017-04-26T06:53:32.253
156719,18156,18607,1,2017-04-26T09:05:36.453
156864,18595,18602,3,2017-04-26T16:20:15.033
157455,10585,18660,1,2017-04-28T09:32:49.123
157745,18670,17941,1,2017-04-29T04:07:51.150
157838,10615,18674,1,2017-04-29T12:33:47.360
157839,10589,18674,1,2017-04-29T12:33:47.360
158560,5316,18711,1,2017-05-01T23:46:17.973
159231,12237,18743,1,2017-05-04T15:28:03.020
159344,12237,18743,3,2017-05-04T19:58:51.687
